country	life_expectancy	gdp
Afghanistan	60.524	1349.6969
Albania	77.185	6969.306
Algeria	70.874	6419.128
Angola	51.498	5838.1553
Antigua and Barbuda	75.783	13722.986
Argentina	76.128	15714.104
Armenia	74.469	5059.088
Australia	82.364	36064.74
Austria	80.965	36731.63
Azerbaijan	70.686	9291.026
Bahamas	75.079	21418.23
Bahrain	76.474	24472.896
Bangladesh	70.258	1792.5503
Barbados	75.205	16233.414
Belarus	69.829	13515.161
Belgium	80.373	32585.012
Belize	73.673	7550.138
Benin	59.165	1464.1383
Bhutan	67.888	6130.8623
Bolivia	66.969	4363.4326
Bosnia and Herzegovina	76.211	7664.153
Botswana	47.152	14045.94
Brazil	73.667	10383.541
Brunei	78.35	45658.254
Bulgaria	73.448	11669.723
Burkina Faso	55.932	1363.7798
Burundi	53.637	484.0909
Cambodia	71.577	2076.6897
Cameroon	54.61	2094.0955
Canada	81.323	35992.832
Cape Verde	74.771	3896.0413
Central African Rep.	49.517	718.26465
Chad	50.724	1768.882
Chile	79.691	15403.761
China	75.178	8346.867
Colombia	73.835	8035.6562
Comoros	60.661	1027.4086
Congo, Dem. Rep.	49.643	403.16458
Congo, Rep.	58.32	4106.5117
Costa Rica	79.712	10827.679
Cote d"Ivoire	50.367	1491.5164
Croatia	76.881	13388.99
Cuba	79.088	10197.419
Cyprus	79.674	23092.09
Czech Rep.	77.552	22565.297
Denmark	79.251	32731.291
Djibouti	61.319	2244.6023
Dominican Rep.	73.181	6978.8965
Ecuador	76.195	7903.0947
Egypt	70.933	6013.8213
El Salvador	72.361	5833.6304
Equatorial Guinea	52.562	13499.212
Eritrea	62.329	613.717
Estonia	74.335	18858.055
Ethiopia	62.983	958.6947
Fiji	69.626	4195.035
Finland	80.362	31551.953
France	81.663	29896.418
Gabon	63.115	13853.462
Gambia	58.59	747.68097
Georgia	74.162	4943.2383
Germany	80.578	34131.875
Ghana	60.979	1728.4785
Greece	80.593	21811.33
Greenland	71.275	40887.055
Grenada	72.64	8529.686
Guatemala	71.77	5290.752
Guinea	55.865	965.6993
Guinea-Bissau	54.054	593.0743
Guyana	66.134	4265.1064
Haiti	62.746	1180.3672
Honduras	73.503	3615.1565
Hong Kong, China	83.199	43854.414
Hungary	74.491	17065.605
Iceland	81.96	34371.18
India	66.168	3229.148
Indonesia	70.624	4379.6997
Iran	73.736	12325.128
Iraq	69.181	4160.847
Ireland	80.531	35856.11
Israel	81.641	27321.205
Italy	82.235	25811.74
Jamaica	73.338	6945.7026
Japan	83.418	31273.994
Jordan	73.7	5242.518
Kazakhstan	66.394	11982.652
Kenya	61.115	1517.6975
Kiribati	68.59	3063.646
Korea, Dem. Rep.	69.701	1540.4402
Korea, Rep.	81.294	26199.404
Kuwait	74.186	42045.06
Kyrgyzstan	67.37	2078.2083
Laos	67.865	2807.0476
Latvia	72.045	15575.276
Lebanon	79.716	13711.976
Lesotho	48.947	1970.4712
Liberia	60.23	499.80908
Libya	75.13	9136.345
Lithuania	71.942	18469.975
Luxembourg	80.371	68706.38
Macao, China	80.186	73122.13
Macedonia, FYR	75.041	8918.812
Madagascar	64.28	981.4787
Malawi	54.798	848.19104
Malaysia	74.836	14202.212
Maldives	77.564	6046.4683
Mali	54.622	1070.5515
Malta	79.574	22460.896
Mauritania	61.39	1898.3519
Mauritius	73.453	13082.775
Mexico	77.281	12030.386
Micronesia, Fed. Sts.	68.882	5778.874
Moldova	68.779	2963.9932
Mongolia	67.286	4300.1333
Montenegro	74.715	10064.161
Morocco	70.714	4514.52
Mozambique	49.91	1058.4419
Myanmar	65.009	1657.0459
Namibia	64.014	5535.837
Nepal	67.989	1264.4927
Netherlands	80.906	36257.086
New Zealand	80.982	25223.535
Nicaragua	74.515	3098.4834
Niger	57.934	706.79425
Nigeria	52.116	2483.9895
Norway	81.367	47383.625
Oman	76.287	26292.848
Pakistan	66.42	2681.1208
Panama	77.342	13607.144
Papua New Guinea	62.288	2391.5796
Paraguay	72.181	4467.1587
Peru	74.525	9277.57
Philippines	68.538	3677.102
Poland	76.239	17851.947
Portugal	79.732	19576.41
Qatar	78.231	91492.65
Romania	73.718	11058.181
Russia	67.874	15427.617
Rwanda	63.563	1223.5258
Saint Lucia	74.686	10541.447
Saint Vincent and the Grenadines	72.389	6975.14
Samoa	72.867	5062.1084
Sao Tome and Principe	66.211	1927.7025
Saudi Arabia	75.264	26259.621
Senegal	63.3	1753.488
Serbia	73.934	9335.959
Seychelles	73.024	17237.46
Sierra Leone	45.338	1072.9579
Singapore	82.155	49381.957
Slovak Republic	75.272	20780.986
Slovenia	79.444	23986.852
Solomon Islands	67.465	2024.2307
Somalia	54.0	953.2757
South Africa	56.271	9657.253
South Sudan	54.666	1433.0372
Spain	81.958	26457.758
Sri Lanka	74.116	5182.6665
Sudan	61.875	2917.6165
Suriname	70.794	8979.806
Swaziland	48.91	4979.704
Sweden	81.69	34530.26
Switzerland	82.471	37678.395
Syria	72.0	4432.0156
Taiwan	79.45	32840.863
Tajikistan	67.118	1952.1005
Tanzania	60.885	1330.0562
Thailand	74.225	8451.159
Timor-Leste	67.033	3466.0828
Togo	56.198	975.39685
Tonga	72.516	4932.978
Trinidad and Tobago	69.761	17182.096
Tunisia	75.632	7620.4707
Turkey	74.938	9287.293
Turkmenistan	65.299	7921.274
Uganda	58.668	1251.098
Ukraine	68.414	6389.586
United Arab Emirates	76.671	31980.242
United Kingdom	80.396	31295.143
United States	78.797	42296.23
Uruguay	77.084	13179.231
Uzbekistan	68.117	3117.274
Vanuatu	71.344	3940.924
Venezuela	74.477	11685.177
West Bank and Gaza	73.018	4328.391
Vietnam	75.793	3073.6497
Yemen, Rep.	62.923	2043.7877
Zambia	57.037	1550.9238
Zimbabwe	58.142	545.3446
